schema_version,form_id,route,section_order,section_id,section_name,question_order,question_id,question,decision_domain,purpose,response_type,allowed_values,required,condition,validation_rule,agent_instruction,evidence_expected,output_object,response,response_status,confidence,evidence_reference,assumptions,notes
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,1,DS-FORM-001-CTL-001,Qual rota deve ser executada?,governance,Define form_control.mode sem depender de escolhas visuais implícitas.,single_select,ZERO_BASE|MIGRATION,YES,ALWAYS,Exactly one allowed value,Use ZERO_BASE to ignore the current visual system; use MIGRATION to audit and selectively replace it.,User selection,form_control.mode,"MIGRATION — um sistema visual ja existe e esta Accepted/SOT (ADR-SYSTEM.md); este handoff formaliza e implementa o que ja foi decidido, nao parte do zero.",ANSWERED_FROM_EVIDENCE,0.9,ADR-SYSTEM.md,,"Route MIGRATION escolhida por evidencia de ADR ja aceito, nao por preferencia estetica."
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,2,DS-FORM-001-CTL-002,Qual é o nome oficial da organização ou marca principal?,governance,Define brand.identity.official_name sem depender de escolhas visuais implícitas.,short_text,,YES,ALWAYS,1-120 characters,Preserve official spelling and capitalization.,Official record or user statement,brand.identity.official_name,"NAO_DETERMINADO — 'EXECUTAR' aparece de forma consistente como nome do ecossistema em todos os ADRs, mas nao ha declaracao explicita de nome oficial de marca/organizacao registrada.",PENDING_USER_INPUT,0.4,todos os ADRs,,Confirmar com o owner se 'EXECUTAR' e o nome oficial ou um codinome de projeto.
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,3,DS-FORM-001-CTL-003,Qual é o nome interno deste projeto de identidade?,governance,Define governance.project_name sem depender de escolhas visuais implícitas.,short_text,,NO,ALWAYS,0-120 characters,"If absent, generate a neutral working title and mark it as inferred.",User statement,governance.project_name,"EXECUTAR Design System — Unificacao App + Blog (titulo de trabalho gerado, conforme instrucao do proprio formulario para ausencia de nome).",ANSWERED_FROM_EVIDENCE,0.6,Prompt.md,INFERRED por instrucao do formulario (gerar titulo neutro quando ausente).,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,4,DS-FORM-001-CTL-004,Quem é o owner responsável pela decisão final?,governance,Define governance.owner sem depender de escolhas visuais implícitas.,short_text,,YES,ALWAYS,Named person or role; do not invent,"If unknown, write NAO_DETERMINADO.",User statement,governance.owner,NAO_DETERMINADO — nenhum owner nomeado nos documentos fornecidos.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,5,DS-FORM-001-CTL-005,"Quem aprova estratégia, identidade visual, acessibilidade e produção gráfica?",governance,Define governance.approvers sem depender de escolhas visuais implícitas.,structured_text,,YES,ALWAYS,List role for each approval domain,Do not assume the same approver for every domain.,User statement,governance.approvers,"NAO_DETERMINADO — nenhum aprovador nomeado por dominio (estrategia, identidade visual, acessibilidade, producao grafica).",PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,6,DS-FORM-001-CTL-006,Quais idiomas e localidades precisam ser suportados?,governance,Define brand.locales sem depender de escolhas visuais implícitas.,multi_select,,YES,ALWAYS,Use BCP 47 tags when possible,Distinguish launch locales from future locales.,User statement,brand.locales,pt-BR (observado: 100% dos documentos-fonte estao em portugues do Brasil). Outras locales nao confirmadas.,ANSWERED_FROM_EVIDENCE,0.6,todos os documentos-fonte,,Confirmar se ha necessidade de en-US ou outra locale de lancamento.
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,7,DS-FORM-001-CTL-007,Qual é a data-alvo para o sistema estar utilizável?,governance,Define governance.target_date sem depender de escolhas visuais implícitas.,date,,NO,ALWAYS,ISO 8601 date or NAO_DETERMINADO,Do not invent a deadline.,User statement,governance.target_date,NAO_DETERMINADO — nenhuma data-alvo declarada.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,8,DS-FORM-001-CTL-008,Quais decisões são imutáveis neste projeto?,governance,Define governance.non_negotiables sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Explicit list; NONE allowed,Record only explicit non-negotiables.,User statement,governance.non_negotiables,"(1) HEX nunca e consumido diretamente por componentes — apenas tokens semanticos (ADR-SYSTEM, 'Regra critica'); (2) Green = acao/execucao/progresso, Azure = informacao/navegacao — papeis nao podem ser trocados; (3) Callouts nunca armazenam cor/CSS no conteudo, apenas o tipo semantico (ADR-001); (4) Payload + PostgreSQL permanecem SOT de conteudo/admin (ADR Creator Operations OS).",ANSWERED_FROM_EVIDENCE,0.85,ADR-SYSTEM.md; ADR/ADR-001_PROTOCOLO_NATIVO_CALLOUTS_MULTIPLATAFORMA.md; ADR/EXECUTAR_ADR_CREATOR_OPERATIONS_OS_V1/,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,1,DS-FORM-001-STR-001,Por que a organização existe além de gerar receita?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Non-empty; specific; no invented facts,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,NAO_DETERMINADO — decisao de estrategia/narrativa de marca nao presente nos documentos de design system fornecidos; requer input do owner do produto.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,2,DS-FORM-001-STR-002,Qual transformação concreta a marca pretende produzir?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Non-empty; specific; no invented facts,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,NAO_DETERMINADO — decisao de estrategia/narrativa de marca nao presente nos documentos de design system fornecidos; requer input do owner do produto.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,3,DS-FORM-001-STR-003,Qual problema central do público é resolvido?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Non-empty; specific; no invented facts,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,NAO_DETERMINADO — decisao de estrategia/narrativa de marca nao presente nos documentos de design system fornecidos; requer input do owner do produto.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,4,DS-FORM-001-STR-004,Qual é a promessa principal da marca em uma frase?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,short_text,,YES,ALWAYS,Maximum 180 characters,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,NAO_DETERMINADO — decisao de estrategia/narrativa de marca nao presente nos documentos de design system fornecidos; requer input do owner do produto.,PENDING_USER_INPUT,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,5,DS-FORM-001-STR-005,Quais provas sustentam essa promessa?,strategy,Define brand.strategy.proof sem depender de escolhas visuais implícitas.,structured_text,,YES,ALWAYS,Separate observed evidence from hypotheses,"Classify each proof as A Observed, B Primary, C Published, D Internal or E Inferred.","Links, records, research or user statement",brand.strategy.proof,NAO_DETERMINADO — decisao de estrategia/narrativa de marca nao presente nos documentos de design system fornecidos; requer input do owner do produto.,PENDING_USER_INPUT,,,,
