id,categoria,arquivo_original,arquivo_padronizado,caminho_relativo,tipo_visual,descricao,foco_extracao,formato,largura_px,altura_px,proporcao,orientacao,tamanho_kb,sha256,status
DSREF-CMP-001,02_COMPONENTS,IMG_0498.jpg,DSREF-CMP-001__change-request-form-card.jpg,02_COMPONENTS/DSREF-CMP-001__change-request-form-card.jpg,component / form card,"Card de formulário em camadas com pergunta, opções de rádio, navegação Back/Next e CTA destacado.",formulário; radio; CTA; radius; layering; espaçamento,JPG,1170,1195,234:239,retrato,79.6,fef71de0d8b1f7bfe3a5038e1457d58dd0dca94a6f3b21532a45ccdc95ce81b2,READY
DSREF-CMP-002,02_COMPONENTS,"Componetes-infografico,web.JPG",DSREF-CMP-002__process-steps-content-section.jpg,02_COMPONENTS/DSREF-CMP-002__process-steps-content-section.jpg,component / content section,"Seção web com quatro etapas sequenciais, títulos, textos e ilustrações lineares.",stepper; grid; hierarquia; cards; ilustração; layout sequencial,JPG,1199,706,1199:706,paisagem,71.9,64ff3e59cfc25635d90fe26db8963bcabe907541441e2b422b1765b65ebf8172,READY
DSREF-CRD-001,03_CARDS,Blog cards.JPG,DSREF-CRD-001__delivery-tracker-card.jpg,03_CARDS/DSREF-CRD-001__delivery-tracker-card.jpg,card / feature,"Card de acompanhamento de entrega com ilustração isométrica, título, texto, CTA e status.",card; isometria; CTA; status; spacing; radius,JPG,420,420,1:1,quadrado,21.8,90bd03294f25708c00a8366a0292fbf992f86ace5ab820e63f9c430662dc322f,READY
DSREF-CRD-002,03_CARDS,Blog cardss.JPG,DSREF-CRD-002__isometric-creator-card.jpg,03_CARDS/DSREF-CRD-002__isometric-creator-card.jpg,card / feature,"Card de produto com objeto isométrico, título curto, descrição e ações de instalação/avaliação.",card; hero object; isometria; botões; microcopy,JPG,1200,1050,8:7,paisagem,69.6,b85d7997a13c9f44f9e6f3d82d7537ddc45c9ae2545f548f8a00b36b4f16245a,READY
DSREF-CRD-003,03_CARDS,Data cards.JPG,DSREF-CRD-003__analytics-data-card.jpg,03_CARDS/DSREF-CRD-003__analytics-data-card.jpg,card / data,"Card de analytics com tabs/labels, barras, destaque numérico e fundo suave.",data viz; tabs; gráfico; hierarchy; accent; surface,JPG,736,823,736:823,retrato,38.3,2d106c73052522162910398723b385ca9186647a3c2c417d18137132060c82ae,READY
DSREF-CRD-004,03_CARDS,IMG_0876.JPG,DSREF-CRD-004__automated-workflow-feature-card.jpg,03_CARDS/DSREF-CRD-004__automated-workflow-feature-card.jpg,card / feature,Card de workflow automatizado com dois documentos conectados e composição centralizada.,workflow; connectors; card; light effects; hierarchy,JPG,736,736,1:1,quadrado,49.0,fca5be6c59ccba97315b67660b1c238c685df5ddd77f392de1d8e467a1916f38,READY
DSREF-CRD-005,03_CARDS,IMG_0877.JPG,DSREF-CRD-005__trend-tracking-feature-card.jpg,03_CARDS/DSREF-CRD-005__trend-tracking-feature-card.jpg,card / feature,Card de trend tracking com mini interface flutuante e texto de benefício.,mini UI; card; depth; shadow; hierarchy,JPG,1200,1342,600:671,retrato,66.1,e59c556b84313442d0e5187b98893f5e58c1fdbf346d859ecc9768f4a0ce579d,READY
DSREF-CRD-006,03_CARDS,IMG_0878.JPG,DSREF-CRD-006__export-share-feature-card.jpg,03_CARDS/DSREF-CRD-006__export-share-feature-card.jpg,card / feature,Card de exportação e compartilhamento com asset 3D e texto de etapa.,3D asset; step label; card; hierarchy; spacing,JPG,1200,1200,1:1,quadrado,77.2,9e6cf9a31ac17f114881807434a8dfb119eb013adb3ea817dcb544de399a4704,READY
DSREF-CRD-007,03_CARDS,IMG_0881.JPG,DSREF-CRD-007__community-guide-promo-card.jpg,03_CARDS/DSREF-CRD-007__community-guide-promo-card.jpg,card / promotional,"Card promocional de guia/comunidade com objeto 3D, headline, descrição e botão.",promo card; 3D asset; CTA; typography; spacing,JPG,1081,1350,1081:1350,retrato,96.4,bb4e394b7691a4eb3bb06af3660c0d4ada8a244cd126a1606d5444b4d5ee2860,READY
DSREF-FND-001,01_FOUNDATIONS,Fontes e Tipografia.PNG,DSREF-FND-001__dark-ui-typography-reference.png,01_FOUNDATIONS/DSREF-FND-001__dark-ui-typography-reference.png,foundation / typography,"Referência de interface escura com hierarquia tipográfica, navegação lateral, cards e contraste de texto.",tipografia; hierarquia; contraste; escala; espaçamento; dark UI,PNG,2360,1640,59:41,paisagem,211.5,fcaae903d5ec179ab92372f4f75d60129ad04d437e848b009e77c0881ef92e9b,READY
