schema_version,form_id,route,section_order,section_id,section_name,question_order,question_id,question,decision_domain,purpose,response_type,allowed_values,required,condition,validation_rule,agent_instruction,evidence_expected,output_object,response,response_status,confidence,evidence_reference,assumptions,notes
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,1,DS-FORM-001-CTL-001,Qual rota deve ser executada?,governance,Define form_control.mode sem depender de escolhas visuais implícitas.,single_select,ZERO_BASE|MIGRATION,YES,ALWAYS,Exactly one allowed value,Use ZERO_BASE to ignore the current visual system; use MIGRATION to audit and selectively replace it.,User selection,form_control.mode,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,2,DS-FORM-001-CTL-002,Qual é o nome oficial da organização ou marca principal?,governance,Define brand.identity.official_name sem depender de escolhas visuais implícitas.,short_text,,YES,ALWAYS,1-120 characters,Preserve official spelling and capitalization.,Official record or user statement,brand.identity.official_name,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,3,DS-FORM-001-CTL-003,Qual é o nome interno deste projeto de identidade?,governance,Define governance.project_name sem depender de escolhas visuais implícitas.,short_text,,NO,ALWAYS,0-120 characters,"If absent, generate a neutral working title and mark it as inferred.",User statement,governance.project_name,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,4,DS-FORM-001-CTL-004,Quem é o owner responsável pela decisão final?,governance,Define governance.owner sem depender de escolhas visuais implícitas.,short_text,,YES,ALWAYS,Named person or role; do not invent,"If unknown, write NAO_DETERMINADO.",User statement,governance.owner,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,5,DS-FORM-001-CTL-005,"Quem aprova estratégia, identidade visual, acessibilidade e produção gráfica?",governance,Define governance.approvers sem depender de escolhas visuais implícitas.,structured_text,,YES,ALWAYS,List role for each approval domain,Do not assume the same approver for every domain.,User statement,governance.approvers,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,6,DS-FORM-001-CTL-006,Quais idiomas e localidades precisam ser suportados?,governance,Define brand.locales sem depender de escolhas visuais implícitas.,multi_select,,YES,ALWAYS,Use BCP 47 tags when possible,Distinguish launch locales from future locales.,User statement,brand.locales,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,7,DS-FORM-001-CTL-007,Qual é a data-alvo para o sistema estar utilizável?,governance,Define governance.target_date sem depender de escolhas visuais implícitas.,date,,NO,ALWAYS,ISO 8601 date or NAO_DETERMINADO,Do not invent a deadline.,User statement,governance.target_date,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,0,CTL,Controle e modo de operação,8,DS-FORM-001-CTL-008,Quais decisões são imutáveis neste projeto?,governance,Define governance.non_negotiables sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Explicit list; NONE allowed,Record only explicit non-negotiables.,User statement,governance.non_negotiables,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,1,DS-FORM-001-STR-001,Por que a organização existe além de gerar receita?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Non-empty; specific; no invented facts,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,,UNANSWERED,,,,
1.0,DS-FORM-001,BOTH,1,STR,Fundação estratégica,2,DS-FORM-001-STR-002,Qual transformação concreta a marca pretende produzir?,strategy,Define brand_definition sem depender de escolhas visuais implícitas.,long_text,,YES,ALWAYS,Non-empty; specific; no invented facts,Ask the user when the answer cannot be derived safely.,User statement or approved source,brand_definition,,UNANSWERED,,,,
